title,content,sentiment
"boAt Storm Call 3 Review,",Comment Your Opinion,0
"boAt Storm Call 3 Review,",Nobhiiskebatmatsunbhiyashabfackha,0
"boAt Storm Call 3 Review,",I have boAt storm call and it have water resistant.,0
"boAt Storm Call 3 Review,",Bhai mara pass bhi nakin ko water proof or 1499rs ki ha,0
"boAt Storm Call 3 Review,",Hi how to setup time in this watch I tried via boat crest app but it says unable to connect. Bluetooth is connected only for calls and unable to change time,-1
"boAt Storm Call 3 Review,",Nice,1
"boAt Storm Call 3 Review,",Ask me Questions,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,"Boat , Amazefit, Fireboltt none has any watch manufacturing unit, neither any reasearch team. The are just picking chinese toy and selling on Indian market. Shameless.",-1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Mujhe bhi ek watch de do,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,iOS support?,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,bhai tu double L me q baat karta hai,-1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Last bala sahi tha bhai,1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Boat ka application bekar hai sync slow hai,-1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Hanging problem,-1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Smart band,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Bhai laggy hai..,-1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Name,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Bro bro himmat hai to firebolt ki sabse sasti smart watch jismein games aur calculator Ho,1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Please Link,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Link please send karo,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Bhai watch ka name kya hai,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Games ?,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Boat Ultima prime review,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Kaha se. Li. Batao,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Tera over acting ke liye 1like kardiya,1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,"Lunar connect ace ,",1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Wahiyat ad of boat,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Lunar discovery unboxing please,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,"Should've had Ponting in there, c'mon",-1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,"Shastri and Kris Srikanth, honourable mentions!!",1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Fire boltt ka check kar do,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Same to me warch,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Mat lo bhai kuch bhi nahi na calculator hai na password laga sakte hai na functional crown hai or na hi game hai,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,U r ho ho ho ho,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Bekar watch hai bilkul...do baar service center bhej di tab bhi thik nahi hui Bluetooth connectivity problem hai aur phone hang ho raha hai application install karne ke baad,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Kitne mile aman gupta se? Biased review mar diya kar be,-1
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Price,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Rectangles smart watch 4G,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Try boat wave force 2,0
I Tested Best In Budget AMOLED Smartwatch - boAt Lunar Connect Ace,Yea watch moja da do,0
